
C:\Users\John\Documents\GitHub\CS470\HW4>make tar
tar -cvf nn.tar makefile NN.cpp Matrix.cpp NN.h Matrix.h
makefile
NN.cpp
Matrix.cpp
NN.h
Matrix.h
ls -l nn*tar
-rw-r--r-- 1 John Administrators 20480 Dec 10 17:09 nn.tar

C:\Users\John\Documents\GitHub\CS470\HW4>make
g++  -g -Wall  -c -o NN.o NN.cpp
g++ -g -Wall -DCPLUSPLUS -DMallocHelp  NN.o Matrix.o -lm -o nn

C:\Users\John\Documents\GitHub\CS470\HW4>nn
150 5
0.992953 : 0.00798069 : 1.71451e-009 || TEST(0)  GOAL:0
0.990799 : 0.0136691 : 2.57984e-009 || TEST(0)  GOAL:0
0.992431 : 0.0116596 : 2.08434e-009 || TEST(0)  GOAL:0
0.99353 : 0.0072577 : 1.54746e-009 || TEST(0)  GOAL:0
0.990784 : 0.00842369 : 2.16982e-009 || TEST(0)  GOAL:0
0.993265 : 0.00940216 : 1.75611e-009 || TEST(0)  GOAL:0
0.992518 : 0.00895947 : 1.87602e-009 || TEST(0)  GOAL:0
0.992511 : 0.0137729 : 2.19573e-009 || TEST(0)  GOAL:0
0.99254 : 0.00717918 : 1.72743e-009 || TEST(0)  GOAL:0
0.992826 : 0.00899648 : 1.81757e-009 || TEST(0)  GOAL:0
0.992646 : 0.0110092 : 1.99265e-009 || TEST(0)  GOAL:0
0.994974 : 0.00936852 : 1.38615e-009 || TEST(0)  GOAL:0
0.992671 : 0.00548465 : 1.54609e-009 || TEST(0)  GOAL:0
0.992324 : 0.00728065 : 1.77639e-009 || TEST(0)  GOAL:0
0.99203 : 0.0092023 : 1.99249e-009 || TEST(0)  GOAL:0
0.990156 : 0.00855106 : 2.29847e-009 || TEST(0)  GOAL:0
0.992967 : 0.00717359 : 1.64798e-009 || TEST(0)  GOAL:0
0.989846 : 0.0107033 : 2.55563e-009 || TEST(0)  GOAL:0
0.991616 : 0.00903822 : 2.06286e-009 || TEST(0)  GOAL:0
0.99504 : 0.00664245 : 1.21147e-009 || TEST(0)  GOAL:0
0.98098 : 0.0245619 : 5.75504e-009 || TEST(0)  GOAL:0
0.991623 : 0.0101367 : 2.15131e-009 || TEST(0)  GOAL:0
0.988655 : 0.0159865 : 3.23284e-009 || TEST(0)  GOAL:0
0.988974 : 0.0136717 : 2.98835e-009 || TEST(0)  GOAL:0
0.992315 : 0.00837263 : 1.87013e-009 || TEST(0)  GOAL:0
0.9922 : 0.00893139 : 1.93665e-009 || TEST(0)  GOAL:0
0.992169 : 0.0110234 : 2.09897e-009 || TEST(0)  GOAL:0
0.99099 : 0.012866 : 2.48389e-009 || TEST(0)  GOAL:0
0.986829 : 0.0148658 : 3.54946e-009 || TEST(0)  GOAL:0
0.994177 : 0.00511453 : 1.25403e-009 || TEST(0)  GOAL:0
0.993684 : 0.00513319 : 1.33991e-009 || TEST(0)  GOAL:0
0.992391 : 0.0104223 : 2.00792e-009 || TEST(0)  GOAL:0
0.99268 : 0.00988222 : 1.90867e-009 || TEST(0)  GOAL:0
0.992037 : 0.00819082 : 1.90789e-009 || TEST(0)  GOAL:0
0.992391 : 0.0104223 : 2.00792e-009 || TEST(0)  GOAL:0
0.993468 : 0.0116116 : 1.84889e-009 || TEST(0)  GOAL:0
0.992168 : 0.00911685 : 1.958e-009 || TEST(0)  GOAL:0
0.992747 : 0.0087154 : 1.81149e-009 || TEST(0)  GOAL:0
