
-bash-4.1$ rm *.o
-bash-4.1$ make
g++  -g -Wall  -c -o NN.o NN.cpp
g++  -g -Wall  -c -o Matrix.o Matrix.cpp
g++ -g -Wall -DCPLUSPLUS -DMallocHelp  NN.o Matrix.o -lm -o nn
-bash-4.1$ ./nn
150 5
0.991576 : 0.0103644 : 0.000121607 || TEST(0)  GOAL:0
0.992046 : 0.00817051 : 9.07508e-05 || TEST(0)  GOAL:0
0.992103 : 0.00741896 : 7.87848e-05 || TEST(0)  GOAL:0
0.991772 : 0.0100493 : 0.000119759 || TEST(0)  GOAL:0
0.979545 : 0.0293909 : 0.000180621 || TEST(0)  GOAL:0
0.991932 : 0.00842731 : 9.3373e-05 || TEST(0)  GOAL:0
0.991333 : 0.0102979 : 0.000115663 || TEST(0)  GOAL:0
0.99248 : 0.00567179 : 5.53996e-05 || TEST(0)  GOAL:0
0.989738 : 0.0138723 : 0.000145706 || TEST(0)  GOAL:0
0.991294 : 0.00983931 : 0.000106977 || TEST(0)  GOAL:0
0.992598 : 0.00710642 : 8.06521e-05 || TEST(0)  GOAL:0
0.993106 : 0.00462074 : 4.54057e-05 || TEST(0)  GOAL:0
0.979142 : 0.0312824 : 0.000194098 || TEST(0)  GOAL:0
0.988465 : 0.0160242 : 0.000155128 || TEST(0)  GOAL:0
0.990693 : 0.011621 : 0.000126525 || TEST(0)  GOAL:0
0.97965 : 0.0296977 : 0.000184981 || TEST(0)  GOAL:0
0.989678 : 0.0135802 : 0.000139749 || TEST(0)  GOAL:0
0.987756 : 0.0162707 : 0.000146072 || TEST(0)  GOAL:0
0.988115 : 0.0156559 : 0.000143366 || TEST(0)  GOAL:0
0.993257 : 0.00694232 : 8.86636e-05 || TEST(0)  GOAL:0
0.981796 : 0.0235253 : 0.000149601 || TEST(0)  GOAL:0
0.988987 : 0.0129127 : 0.000117801 || TEST(0)  GOAL:0
0.990883 : 0.0100057 : 0.000102943 || TEST(0)  GOAL:0
0.987811 : 0.0151531 : 0.00013142 || TEST(0)  GOAL:0
0.990693 : 0.0118242 : 0.000130016 || TEST(0)  GOAL:0
0.991361 : 0.0107055 : 0.000123496 || TEST(0)  GOAL:0
0.991554 : 0.00871645 : 9.22918e-05 || TEST(0)  GOAL:0
0.991359 : 0.00902223 : 9.43637e-05 || TEST(0)  GOAL:0
0.986179 : 0.0185589 : 0.000151605 || TEST(0)  GOAL:0
0.991322 : 0.0117227 : 0.000141549 || TEST(0)  GOAL:0
0.989738 : 0.0145434 : 0.000156994 || TEST(0)  GOAL:0
0.992214 : 0.00817097 : 9.35025e-05 || TEST(0)  GOAL:0
0.992552 : 0.00818838 : 9.98796e-05 || TEST(0)  GOAL:0
0.991035 : 0.0118681 : 0.00013788 || TEST(0)  GOAL:0
0.992214 : 0.00817097 : 9.35025e-05 || TEST(0)  GOAL:0
0.992706 : 0.00565622 : 5.75762e-05 || TEST(0)  GOAL:0
0.99106 : 0.0109123 : 0.000121274 || TEST(0)  GOAL:0
0.991568 : 0.0101708 : 0.000117894 || TEST(0)  GOAL:0
0.992084 : 0.00469797 : 3.84311e-05 || TEST(0)  GOAL:0
0.978238 : 0.0302138 : 0.000172858 || TEST(0)  GOAL:0
0.991614 : 0.00844308 : 8.87032e-05 || TEST(0)  GOAL:0
0.990114 : 0.0129445 : 0.000137706 || TEST(0)  GOAL:0
0.992414 : 0.00726738 : 8.07113e-05 || TEST(0)  GOAL:0
0.990183 : 0.0130549 : 0.000140956 || TEST(0)  GOAL:0
0.991844 : 0.00938897 : 0.000108961 || TEST(0)  GOAL:0
