w
-0.00412 -0.147252 -0.386212 
0.163121 0.536363 -0.202734 
0.539842 0.73516 -0.116855 
-0.771661 -0.1489 -0.0711386 

v
0 0.575854 0.201941 -0.330729 
0 -0.115085 0.987793 0.238807 
0 0.489914 -0.234779 0.508347 
0 -0.020661 0.355327 0.254006 
0.278176 -0.354289 0.42082 0.86755 

0.999875 : 0.0010791 : 2.19304e-008 || 0 : 0
0.999875 : 0.0010791 : 2.19304e-008 || 0 : 0
0.999875 : 0.0010791 : 2.19304e-008 || 0 : 0
0.999875 : 0.0010791 : 2.19304e-008 || 0 : 0
0.999875 : 0.0010791 : 2.19304e-008 || 0 : 0
0.999875 : 0.0010791 : 2.19304e-008 || 0 : 0
0.999875 : 0.0010791 : 2.19304e-008 || 0 : 0
0.999875 : 0.0010791 : 2.19304e-008 || 0 : 0
0.999875 : 0.0010791 : 2.19304e-008 || 0 : 0
0.999875 : 0.0010791 : 2.19304e-008 || 0 : 0
0.999875 : 0.0010791 : 2.19304e-008 || 0 : 0
0.999875 : 0.0010791 : 2.19304e-008 || 0 : 0
0.999875 : 0.0010791 : 2.19304e-008 || 0 : 0
0.999875 : 0.0010791 : 2.19304e-008 || 0 : 0
0.999875 : 0.0010791 : 2.19304e-008 || 0 : 0
0.999875 : 0.0010791 : 2.19304e-008 || 0 : 0
0.999875 : 0.0010791 : 2.19304e-008 || 0 : 0
0.999875 : 0.0010791 : 2.19304e-008 || 0 : 0
0.999875 : 0.0010791 : 2.19304e-008 || 0 : 0
0.999875 : 0.0010791 : 2.19304e-008 || 0 : 0
0.999875 : 0.0010791 : 2.19304e-008 || 0 : 0
0.999875 : 0.0010791 : 2.19304e-008 || 0 : 0
0.999875 : 0.0010791 : 2.19304e-008 || 0 : 0
0.999875 : 0.0010791 : 2.19304e-008 || 0 : 0
0.999875 : 0.0010791 : 2.19304e-008 || 0 : 0
0.999875 : 0.0010791 : 2.19304e-008 || 0 : 0
0.999875 : 0.0010791 : 2.19304e-008 || 0 : 0
0.999875 : 0.0010791 : 2.19304e-008 || 0 : 0
0.999875 : 0.0010791 : 2.19304e-008 || 0 : 0
0.999875 : 0.0010791 : 2.19304e-008 || 0 : 0
0.999875 : 0.0010791 : 2.19304e-008 || 0 : 0
0.999875 : 0.0010791 : 2.19304e-008 || 0 : 0
0.999875 : 0.0010791 : 2.19304e-008 || 0 : 0
0.999875 : 0.0010791 : 2.19304e-008 || 0 : 0
0.999875 : 0.0010791 : 2.19304e-008 || 0 : 0
0.999875 : 0.0010791 : 2.19304e-008 || 0 : 0
0.999875 : 0.0010791 : 2.19304e-008 || 0 : 0
0.999875 : 0.0010791 : 2.19304e-008 || 0 : 0
0.999875 : 0.0010791 : 2.19304e-008 || 0 : 0
0.999875 : 0.0010791 : 2.19304e-008 || 0 : 0
0.999875 : 0.0010791 : 2.19304e-008 || 0 : 0
0.999875 : 0.0010791 : 2.19304e-008 || 0 : 0
0.999875 : 0.0010791 : 2.19304e-008 || 0 : 0
0.999875 : 0.0010791 : 2.19304e-008 || 0 : 0
0.999875 : 0.0010791 : 2.19304e-008 || 0 : 0
7.36634e-010 : 0.686637 : 0.330323 || 1 : 1
7.36634e-010 : 0.686637 : 0.330323 || 1 : 1
7.36634e-010 : 0.686637 : 0.330323 || 1 : 1
7.36634e-010 : 0.686637 : 0.330323 || 1 : 1
7.36634e-010 : 0.686637 : 0.330323 || 1 : 1
7.36634e-010 : 0.686637 : 0.330323 || 1 : 1
1.54794e-009 : 0.4791 : 0.0643317 || 1 : 1
7.36634e-010 : 0.686637 : 0.330323 || 1 : 1
7.71071e-010 : 0.674966 : 0.303931 || 1 : 1
7.36634e-010 : 0.686637 : 0.330323 || 1 : 1
7.36634e-010 : 0.686637 : 0.330323 || 1 : 1
7.36634e-010 : 0.686637 : 0.330323 || 1 : 1
7.36634e-010 : 0.686637 : 0.330323 || 1 : 1
7.36634e-010 : 0.686637 : 0.330323 || 1 : 1
7.36634e-010 : 0.686637 : 0.330323 || 1 : 1
7.36634e-010 : 0.686637 : 0.330323 || 1 : 1
7.36634e-010 : 0.686637 : 0.330323 || 1 : 1
7.36634e-010 : 0.686637 : 0.330323 || 1 : 1
7.36634e-010 : 0.686637 : 0.330323 || 1 : 1
7.36634e-010 : 0.686637 : 0.330323 || 1 : 1
7.36634e-010 : 0.686637 : 0.330323 || 1 : 1
7.36634e-010 : 0.686637 : 0.330323 || 1 : 1
7.36634e-010 : 0.686637 : 0.330323 || 1 : 1
7.36634e-010 : 0.686637 : 0.330323 || 1 : 1
7.36634e-010 : 0.686637 : 0.330323 || 1 : 1
7.36634e-010 : 0.686637 : 0.330323 || 1 : 1
7.36634e-010 : 0.686637 : 0.330323 || 1 : 1
7.36634e-010 : 0.686637 : 0.330323 || 1 : 1
7.36634e-010 : 0.686637 : 0.330323 || 1 : 1
7.36634e-010 : 0.686637 : 0.330323 || 1 : 1
7.36634e-010 : 0.686637 : 0.330323 || 1 : 1
7.36634e-010 : 0.686637 : 0.330323 || 1 : 1
7.36634e-010 : 0.686637 : 0.330323 || 1 : 1
7.36634e-010 : 0.686637 : 0.330323 || 1 : 1
7.36634e-010 : 0.686637 : 0.330323 || 1 : 1
7.36634e-010 : 0.686637 : 0.330323 || 1 : 1
7.36634e-010 : 0.686637 : 0.330323 || 1 : 1
7.36634e-010 : 0.686637 : 0.330323 || 1 : 1
7.3962e-010 : 0.685613 : 0.32794 || 1 : 1
7.36634e-010 : 0.686637 : 0.330323 || 1 : 1
7.36634e-010 : 0.686637 : 0.330323 || 1 : 1
7.36634e-010 : 0.686637 : 0.330323 || 1 : 1
7.36634e-010 : 0.686637 : 0.330323 || 1 : 1
7.36634e-010 : 0.686637 : 0.330323 || 1 : 1
7.36634e-010 : 0.686637 : 0.330323 || 1 : 1
7.36634e-010 : 0.686637 : 0.330323 || 1 : 2
7.36634e-010 : 0.686637 : 0.330323 || 1 : 2
7.36634e-010 : 0.686637 : 0.330323 || 1 : 2
7.36634e-010 : 0.686637 : 0.330323 || 1 : 2
7.36634e-010 : 0.686637 : 0.330323 || 1 : 2
7.36634e-010 : 0.686637 : 0.330323 || 1 : 2
7.36634e-010 : 0.686637 : 0.330323 || 1 : 2
7.36634e-010 : 0.686637 : 0.330323 || 1 : 2
7.36634e-010 : 0.686637 : 0.330323 || 1 : 2
7.36634e-010 : 0.686637 : 0.330323 || 1 : 2
7.36634e-010 : 0.686637 : 0.330323 || 1 : 2
7.36634e-010 : 0.686637 : 0.330323 || 1 : 2
7.36634e-010 : 0.686637 : 0.330323 || 1 : 2
7.36634e-010 : 0.686637 : 0.330323 || 1 : 2
7.36634e-010 : 0.686637 : 0.330323 || 1 : 2
7.36634e-010 : 0.686637 : 0.330323 || 1 : 2
7.36634e-010 : 0.686637 : 0.330323 || 1 : 2
7.36634e-010 : 0.686637 : 0.330323 || 1 : 2
7.36634e-010 : 0.686637 : 0.330323 || 1 : 2
7.36634e-010 : 0.686637 : 0.330323 || 1 : 2
7.36634e-010 : 0.686637 : 0.330323 || 1 : 2
7.36634e-010 : 0.686637 : 0.330323 || 1 : 2
7.36634e-010 : 0.686637 : 0.330323 || 1 : 2
7.36634e-010 : 0.686637 : 0.330323 || 1 : 2
7.36634e-010 : 0.686637 : 0.330323 || 1 : 2
7.36634e-010 : 0.686637 : 0.330323 || 1 : 2
7.36634e-010 : 0.686637 : 0.330323 || 1 : 2
7.36634e-010 : 0.686637 : 0.330323 || 1 : 2
7.36634e-010 : 0.686637 : 0.330323 || 1 : 2
7.36634e-010 : 0.686637 : 0.330323 || 1 : 2
7.36634e-010 : 0.686637 : 0.330323 || 1 : 2
7.36634e-010 : 0.686637 : 0.330323 || 1 : 2
7.36634e-010 : 0.686637 : 0.330323 || 1 : 2
7.36634e-010 : 0.686637 : 0.330323 || 1 : 2
7.36634e-010 : 0.686637 : 0.330323 || 1 : 2
7.36634e-010 : 0.686637 : 0.330323 || 1 : 2
7.36634e-010 : 0.686637 : 0.330323 || 1 : 2
7.36634e-010 : 0.686637 : 0.330323 || 1 : 2
7.36634e-010 : 0.686637 : 0.330323 || 1 : 2
7.36634e-010 : 0.686637 : 0.330323 || 1 : 2
7.36634e-010 : 0.686637 : 0.330323 || 1 : 2
7.36634e-010 : 0.686637 : 0.330323 || 1 : 2
7.36634e-010 : 0.686637 : 0.330323 || 1 : 2
7.36634e-010 : 0.686637 : 0.330323 || 1 : 2
7.36634e-010 : 0.686637 : 0.330323 || 1 : 2
0.999875 : 0.0010791 : 2.19304e-008 || 0 : 0
0.999875 : 0.0010791 : 2.19304e-008 || 0 : 0
0.999875 : 0.0010791 : 2.19304e-008 || 0 : 0
0.999875 : 0.0010791 : 2.19304e-008 || 0 : 0
0.999875 : 0.0010791 : 2.19304e-008 || 0 : 0
7.36634e-010 : 0.686637 : 0.330323 || 1 : 1
7.36634e-010 : 0.686637 : 0.330323 || 1 : 1
7.36634e-010 : 0.686637 : 0.330323 || 1 : 1
7.36634e-010 : 0.686637 : 0.330323 || 1 : 1
7.36634e-010 : 0.686637 : 0.330323 || 1 : 1
7.36634e-010 : 0.686637 : 0.330323 || 1 : 2
7.36634e-010 : 0.686637 : 0.330323 || 1 : 2
7.36634e-010 : 0.686637 : 0.330323 || 1 : 2
7.36634e-010 : 0.686637 : 0.330323 || 1 : 2
7.36634e-010 : 0.686637 : 0.330323 || 1 : 2
success 100 out of 150 or 66.6667%

w
-2.24644 1.70764 4.40885 
-0.555601 0.653121 1.48265 
-2.6181 0.675407 1.43453 
-4.32998 0.57522 1.31499 

v
0 167.229 187.379 186.297 
0 114.38 119.935 122.74 
0 42.6104 23.081 15.015 
0 139.106 168.385 171.632 
0.278176 232.031 266.236 263.932 

