400 3
1.441 1.488 3.598
0.780 2.654 3.039
0.856 2.074 2.907
0.889 2.174 2.890
0.584 1.334 2.646
1.062 2.744 2.868
1.140 1.790 2.833
0.313 1.558 2.989
1.296 1.156 3.096
1.158 1.836 3.310
1.782 2.524 3.066
0.647 1.879 3.114
0.375 1.766 2.783
0.466 2.399 2.953
0.414 2.074 3.153
1.059 2.558 3.042
0.321 2.199 3.342
1.310 1.595 3.140
1.047 2.683 2.897
0.507 2.462 2.979
1.662 2.631 3.178
0.948 1.809 2.939
1.962 2.018 3.295
0.908 2.135 2.768
1.103 1.994 2.897
0.848 2.457 3.103
0.965 1.633 3.141
0.457 1.742 3.066
1.228 2.519 3.020
1.141 1.856 2.829
1.028 2.216 3.121
1.387 1.629 2.911
1.324 1.801 3.038
0.336 1.548 3.021
1.016 1.619 3.337
1.177 2.267 2.949
1.179 1.800 3.232
0.949 2.767 2.980
1.017 1.494 3.481
0.975 2.594 3.069
1.528 1.828 2.778
0.532 2.107 3.046
-0.288 2.016 2.707
0.462 1.961 2.961
2.208 1.324 2.993
0.388 1.205 3.026
0.753 1.728 2.860
0.304 1.390 2.772
0.243 1.438 3.161
0.540 2.583 2.879
0.563 1.577 3.049
0.732 1.343 2.990
0.869 2.284 3.184
1.261 1.954 3.385
1.621 2.103 3.271
1.217 2.299 2.825
1.227 1.852 2.589
0.643 1.761 3.179
1.822 2.230 3.136
0.665 1.871 3.201
1.144 1.909 2.633
1.347 2.211 3.314
0.747 2.468 2.922
0.941 1.743 3.207
0.667 1.783 3.065
1.539 1.888 3.022
1.046 1.493 2.943
0.378 1.602 2.840
2.124 2.463 3.040
1.400 1.974 2.935
0.935 1.832 3.209
2.034 2.017 3.175
1.187 1.861 3.100
0.574 1.707 2.747
0.950 1.814 2.882
0.434 2.202 3.043
0.092 1.829 3.060
0.775 2.129 2.970
0.951 2.198 3.048
-0.378 1.949 3.230
0.248 2.953 2.956
1.122 1.633 2.978
0.740 1.309 3.243
-0.097 2.939 2.977
1.537 2.267 2.856
1.921 2.233 3.023
0.719 2.038 2.937
1.183 1.774 3.231
0.236 2.220 3.056
0.604 1.988 3.303
1.004 1.896 3.116
1.638 2.234 3.047
1.632 2.202 3.013
1.127 1.355 2.766
0.874 2.059 3.145
2.192 2.714 2.705
1.001 1.930 2.809
-0.553 2.486 2.766
1.414 1.718 2.860
0.714 2.127 3.030
